Tiempo (s),Tiempo (horas),Temperatura_Salon_5 (C),Potencia_Salon_5 (W)
2252.0,0.6255555555555555,21.662541824085466,1680.5869988540383
2253.0,0.6258333333333334,21.662436176574968,1680.7919615720784
2254.0,0.6261111111111111,21.66233526778811,1681.1331705190305
2255.0,0.6263888888888889,21.662240899924523,1681.6096976169679
2256.0,0.6266666666666667,21.662154854802328,1682.22024189541
2257.0,0.6269444444444444,21.662078888958906,1682.9631335993806
2258.0,0.6272222222222222,21.662014728825934,1683.8363391344442
2259.0,0.6275,21.6619640659904,1684.8374668983793
2260.0,0.6277777777777778,21.6619285525536,1685.9637740213716
2261.0,0.6280555555555556,21.661909796600206,1687.2121740197936
2262.0,0.6283333333333333,21.661909357789316,1688.5792453576737
2263.0,0.6286111111111111,21.661928743079304,1690.0612409023406
2264.0,0.6288888888888889,21.661969402597904,1691.6540982550307
2265.0,0.6291666666666667,21.662032725668688,1693.3534509327878
2266.0,0.6294444444444445,21.66212003700472,1695.1546403742584
2267.0,0.6297222222222222,21.662232593079693,1697.0527287388154
2268.0,0.63,21.662371578686447,1699.0425124656401
2269.0,0.6302777777777778,21.662538103692214,1701.118536556839
2270.0,0.6305555555555555,21.662733199999465,1703.2751095464128
2271.0,0.6308333333333334,21.66295781872064,1705.5063191147478
2272.0,0.6311111111111111,21.663212827574473,1707.8060483064055
2273.0,0.6313888888888889,21.663499008511057,1710.1679923071736
2274.0,0.6316666666666667,21.66381705557209,1712.5856757347617
2275.0,0.6319444444444444,21.6641675729922,1715.0524703960027
2276.0,0.6322222222222222,21.66455107354651,1717.5616134621466
2277.0,0.6325,21.664967977149,1720.1062260125964
2278.0,0.6327777777777778,21.66541860970546,1722.6793318964508
2279.0,0.6330555555555556,21.665903202224193,1725.273876860285
2280.0,0.6333333333333333,21.66642189018694,1727.8827478898993
2281.0,0.6336111111111111,21.66697471318167,1730.498792713133
2282.0,0.6338888888888888,21.667561614798327,1733.1148394104455
2283.0,0.6341666666666667,21.668182442787767,1735.7237160796237
2284.0,0.6344444444444445,21.66883694948349,1738.3182705008971
2285.0,0.6347222222222222,21.669524792484996,1740.8913897486968
2286.0,0.635,21.670245535600905,1743.4360196965265
2287.0,0.6352777777777778,21.67099865004929,1745.9451843616869
2288.0,0.6355555555555555,21.671783515911933,1748.412005037134
2289.0,0.6358333333333334,21.67259942383852,1750.8297191583515
2290.0,0.6361111111111111,21.67344557699619,1753.1916988539658
2291.0,0.6363888888888889,21.674321093259074,1755.4914691297977
2292.0,0.6366666666666667,21.675225007631873,1757.7227256372032
2293.0,0.6369444444444444,21.67615627490093,1759.8793519779208
2294.0,0.6372222222222222,21.67711377250555,1761.9554364991907
2295.0,0.6375,21.678096303621828,1763.945288534733
2296.0,0.6377777777777778,21.679102600450634,1765.843454049258
2297.0,0.6380555555555556,21.680131327700913,1767.6447306466648
2298.0,0.6383333333333333,21.68118108625898,1769.344181905039
2299.0,0.6386111111111111,21.682250417034044,1770.9371510052538
2300.0,0.6388888888888888,21.68333780496983,1772.4192736246896
2301.0,0.6391666666666667,21.684441683211936,1773.7864900739978
2302.0,0.6394444444444445,21.68556043742032,1775.0350566639293
2303.0,0.6397222222222222,21.68669241021644,1776.161556303058
2304.0,0.64,21.687835905754785,1777.1629083494015
2305.0,0.6402777777777777,21.68898919440949,1778.0363777769908
2306.0,0.6405555555555555,21.690150517568384,1778.7795837878914
2307.0,0.6408333333333334,21.69131809253046,1779.3905081361484
2308.0,0.6411111111111111,21.69249011751013,1779.8675037170237
2309.0,0.6413888888888889,21.69366477644223,1780.2092802881016
2310.0,0.6416666666666667,21.69484024331187,1780.4148695424444
2311.0,0.6419444444444444,21.69601468727162,1780.4836845042869
2312.0,0.6422222222222222,21.69718627776105,1780.4155203362836
2313.0,0.6425,21.69835318959133,1780.2105523630748
2314.0,0.6427777777777778,21.699513607994838,1779.8693340797893
2315.0,0.6430555555555556,21.700665733633418,1779.3927946884407
2316.0,0.6433333333333333,21.701807787556046,1778.7822359327545
2317.0,0.6436111111111111,21.70293801609497,1778.0393281118406
2318.0,0.6438888888888888,21.704054695688615,1777.166105210369
2319.0,0.6441666666666667,21.705156137619163,1776.164959114898
2320.0,0.6444444444444445,21.706240692652543,1775.0386329051728
2321.0,0.6447222222222222,21.70730675556867,1773.7902132215231
2322.0,0.645,21.70835276956987,1772.4231217179263
2323.0,0.6452777777777777,21.70937723055566,1770.9411056165409
2324.0,0.6455555555555555,21.71037869125239,1769.348227384332
2325.0,0.6458333333333334,21.71135576518655,1767.648853556405
2326.0,0.6461111111111111,21.71230713049095,1765.8476427340352
2327.0,0.6463888888888889,21.71323153353348,1763.9495327883826
2328.0,0.6466666666666666,21.714127792358504,1761.9597273035424
2329.0,0.6469444444444444,21.71499479993153,1759.8836812950399
2330.0,0.6472222222222223,21.715831527178327,1757.7270862421014
2331.0,0.6475,21.716637025810147,1755.4958544741237
2332.0,0.6477777777777778,21.71741043092737,1753.1961029536358
2333.0,0.6480555555555556,21.71815096339443,1750.8341364998455
2334.0,0.6483333333333333,21.71885793197954,1748.416430498429
2335.0,0.6486111111111111,21.719530735253375,1745.9496131447227
2336.0,0.6488888888888888,21.72016886324149,1743.4404472687665
2337.0,0.6491666666666667,21.720771898825962,1740.8958117918535
2338.0,0.6494444444444445,21.721339518892446,1738.3226828652535
2339.0,0.6497222222222222,21.72187149521946,1735.728114742667
2340.0,0.65,21.722367695107497,1733.1192204387269
2341.0,0.6502777777777777,21.722828081746222,1730.5031522264171
2342.0,0.6505555555555556,21.72325271431876,1727.8870820267693
2343.0,0.6508333333333334,21.723641747842766,1725.278181744436
2344.0,0.6511111111111111,21.723995432748726,1722.6836036029306
2345.0,0.6513888888888889,21.724314114196634,1720.1104605332573
2346.0,0.6516666666666666,21.724598231132894,1717.5658066695423
2347.0,0.6519444444444444,21.72484831509005,1715.0566180048972
2348.0,0.6522222222222223,21.725064988732576,1712.5897732603205
2349.0,0.6525,21.72524896415274,1710.17203501876
2350.0,0.6527777777777778,21.725401040921152,1707.8100311757073
2351.0,0.6530555555555555,21.725522103897326,1705.5102367566856
2352.0,0.6533333333333333,21.725613120806223,1703.278956150919
2353.0,0.6536111111111111,21.725675139587356,1701.122305809106
2354.0,0.6538888888888889,21.72570928552367,1699.0461974517773
2355.0,0.6541666666666667,21.725716758157997,1697.0563218329562
2356.0,0.6544444444444445,21.725698828005424,1695.1581331019272
2357.0,0.6547222222222222,21.72565683307046,1693.356833803629
2358.0,0.655,21.72559217517838,1691.6573605555843
2359.0,0.6552777777777777,21.72550631613055,1690.0643704361114
2360.0,0.6555555555555556,21.725400773693966,1688.5822281147143
2361.0,0.6558333333333334,21.725277117435567,1687.2149937505683
2362.0,0.6561111111111111,21.72513696441207,1685.9664116783572
2363.0,0.6563888888888889,21.724981974726273,1684.839899891255
2364.0,0.6566666666666666,21.72481384696063,1683.8385403165485
2365.0,0.6569444444444444,21.724634313498512,1682.9650698565742
2366.0,0.6572222222222223,21.724445135742766,1682.221872128689
2367.0,0.6575,21.724248099239148,1681.6109697673394
2368.0,0.6577777777777778,21.72404500870876,1681.1340170141325
2369.0,0.6580555555555555,21.723837683040443,1680.7922961131428
2370.0,0.6583333333333333,21.72362795086588,1680.5867602534838
2371.0,0.6586111111111111,21.72341764563603,1680.5179957435944
